name,mfr,rating,sugar_per_cup,calories_per_cup,protein_per_cup,fat_per_cup,fiber_per_cup,sodium_per_cup,carbo_per_cup,potass_per_cup,image_url
100% Bran,N,68.402973,18.18,212.12,12.12,3.03,30.3,393.94,15.15,848.48,https://i.ebayimg.com/images/g/mH0AAOSwLjFlkyUW/s-l400.jpg
100% Natural Bran,Q,33.983679,8,120,3,5,2,15,8,135,https://images.freshop.ncrcloud.com/00043000180327/7ce8f02da3250c1b0b9d55e4dc69b152_large.png
All-Bran,K,59.425505,15.15,212.12,12.12,3.03,27.27,787.88,21.21,969.7,"https://m.media-amazon.com/images/I/71FD7KEY33L._UF1000,1000_QL80_.jpg"
All-Bran with Extra Fiber,K,93.704912,0,100,8,0,28,280,16,660,"https://m.media-amazon.com/images/I/71FD7KEY33L._UF1000,1000_QL80_.jpg"
Almond Delight,R,34.384843,10.67,146.67,2.67,2.67,1.33,266.67,18.67,238,https://static.wikia.nocookie.net/cereal/images/c/c5/Almond_Delight.jpg/revision/latest?cb=20210818122259
Apple Cinnamon Cheerios,G,29.509541,13.33,146.67,2.67,2.67,2,240,14,93.33,https://images.albertsons-media.com/is/image/ABS/960451508-C1N1?$ng-ecom-pdp-desktop$&defaultImage=Not_Available
Apple Jacks,K,33.174094,14,110,2,0,1,125,11,30,https://m.media-amazon.com/images/I/91awApI3OsL.jpg
Basic 4,G,37.038562,10.67,173.33,4,2.67,2.67,280,24,133.33,https://i5.walmartimages.com/asr/67092591-f3b8-4546-88fc-1f30d4a06c45.0009cd0502d2063fcaf6b4db071b7e9f.jpeg
Bran Chex,R,49.120253,8.96,134.33,2.99,1.49,5.97,298.51,22.39,186.57,https://i.ebayimg.com/images/g/z2wAAOSw1pxlBzG2/s-l1200.jpg
Bran Flakes,P,53.313813,7.46,134.33,4.48,0,7.46,313.43,19.4,283.58,https://m.media-amazon.com/images/I/A1FO3A7+hKL.jpg
Cap'n'Crunch,Q,18.042851,16,160,1.33,2.67,0,293.33,16,46.67,"https://m.media-amazon.com/images/I/81NEeovtEGL._UF350,350_QL80_.jpg"
Cheerios,G,50.764999,0.8,88,4.8,1.6,1.6,232,13.6,84,https://m.media-amazon.com/images/I/914qUV8LChL.jpg
Cinnamon Toast Crunch,G,19.823573,12,160,1.33,4,0,280,17.33,60,"https://m.media-amazon.com/images/I/91j6fXMblPL._UF1000,1000_QL80_.jpg"
Clusters,G,40.400208,14,220,6,4,4,280,26,210,https://i5.walmartimages.com/seo/TJ-Maple-Pecan-Clusters-Cereal-2-20-Oz-Boxes_8666baba-7003-4d97-bd9a-b84f68e5e043.4ea50f1dbe91eec98d22826080f5419b.jpeg
Cocoa Puffs,G,22.736446,13,110,1,1,0,180,12,55,https://i5.walmartimages.com/asr/6b160f0e-0d0b-4174-b864-4d74c49ef911.b899e774075782d1b6ff355c9b9a1fa6.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF
Corn Chex,R,41.445019,3,110,2,0,0,280,22,25,https://i5.walmartimages.com/asr/390e76d0-1c0a-4a61-a634-772a0d6a42be.a247ca26042044444d474a44bb382e57.jpeg
Corn Flakes,K,45.863324,2,100,2,0,1,290,21,35,"https://m.media-amazon.com/images/I/81-bYaTutTL._UF894,1000_QL80_.jpg"
Corn Pops,K,35.782791,12,110,1,0,1,90,13,20,"https://m.media-amazon.com/images/I/81iim-MEliL._UF894,1000_QL80_.jpg"
